20260823 15:12:33 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260823 15:12:33 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260823 15:12:34 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260823 15:12:34 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260823 15:12:35 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260823 15:12:35 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260823 15:36:20 |INFO| 
找到主窗口:
20260823 15:36:20 |INFO|   标题: {main_window_info['title']}
20260823 15:36:20 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:22 |INFO| 
找到主窗口:
20260823 15:36:22 |INFO|   标题: {main_window_info['title']}
20260823 15:36:22 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:24 |INFO| 
找到主窗口:
20260823 15:36:24 |INFO|   标题: {main_window_info['title']}
20260823 15:36:24 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:25 |INFO| 
找到主窗口:
20260823 15:36:25 |INFO|   标题: {main_window_info['title']}
20260823 15:36:25 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:26 |INFO| 
找到主窗口:
20260823 15:36:26 |INFO|   标题: {main_window_info['title']}
20260823 15:36:26 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:26 |INFO| 
找到主窗口:
20260823 15:36:26 |INFO|   标题: {main_window_info['title']}
20260823 15:36:26 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:28 |INFO| 
找到主窗口:
20260823 15:36:28 |INFO|   标题: {main_window_info['title']}
20260823 15:36:28 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:31 |INFO| 
找到主窗口:
20260823 15:36:31 |INFO|   标题: {main_window_info['title']}
20260823 15:36:31 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:33 |INFO| 
找到主窗口:
20260823 15:36:33 |INFO|   标题: {main_window_info['title']}
20260823 15:36:33 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:36:34 |INFO| 
找到主窗口:
20260823 15:36:34 |INFO|   标题: {main_window_info['title']}
20260823 15:36:34 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:19 |INFO| 找到主窗口:
20260823 15:38:19 |INFO|   标题: {main_window_info['title']}
20260823 15:38:19 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:21 |INFO| 找到主窗口:
20260823 15:38:21 |INFO|   标题: {main_window_info['title']}
20260823 15:38:21 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:23 |INFO| 找到主窗口:
20260823 15:38:23 |INFO|   标题: {main_window_info['title']}
20260823 15:38:23 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:24 |INFO| 找到主窗口:
20260823 15:38:24 |INFO|   标题: {main_window_info['title']}
20260823 15:38:24 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:24 |INFO| 找到主窗口:
20260823 15:38:24 |INFO|   标题: {main_window_info['title']}
20260823 15:38:24 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:25 |INFO| 找到主窗口:
20260823 15:38:25 |INFO|   标题: {main_window_info['title']}
20260823 15:38:25 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:27 |INFO| 找到主窗口:
20260823 15:38:27 |INFO|   标题: {main_window_info['title']}
20260823 15:38:27 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:29 |INFO| 找到主窗口:
20260823 15:38:29 |INFO|   标题: {main_window_info['title']}
20260823 15:38:29 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:31 |INFO| 找到主窗口:
20260823 15:38:31 |INFO|   标题: {main_window_info['title']}
20260823 15:38:31 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:38:33 |INFO| 找到主窗口:
20260823 15:38:33 |INFO|   标题: {main_window_info['title']}
20260823 15:38:33 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:03 |INFO| 找到主窗口:
20260823 15:41:03 |INFO|   标题: {main_window_info['title']}
20260823 15:41:03 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:06 |INFO| 找到主窗口:
20260823 15:41:06 |INFO|   标题: {main_window_info['title']}
20260823 15:41:06 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:08 |INFO| 找到主窗口:
20260823 15:41:08 |INFO|   标题: {main_window_info['title']}
20260823 15:41:08 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:08 |INFO| 找到主窗口:
20260823 15:41:08 |INFO|   标题: {main_window_info['title']}
20260823 15:41:08 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:09 |INFO| 找到主窗口:
20260823 15:41:09 |INFO|   标题: {main_window_info['title']}
20260823 15:41:09 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:11 |INFO| 找到主窗口:
20260823 15:41:11 |INFO|   标题: {main_window_info['title']}
20260823 15:41:11 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:41:13 |INFO| 找到主窗口:
20260823 15:41:13 |INFO|   标题: {main_window_info['title']}
20260823 15:41:13 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:44:53 |INFO| 找到主窗口:
20260823 15:44:53 |INFO|   标题: {main_window_info['title']}
20260823 15:44:53 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:44:55 |INFO| 找到主窗口:
20260823 15:44:55 |INFO|   标题: {main_window_info['title']}
20260823 15:44:55 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:28 |INFO| 找到主窗口:
20260823 15:45:28 |INFO|   标题: {main_window_info['title']}
20260823 15:45:28 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:30 |INFO| 找到主窗口:
20260823 15:45:30 |INFO|   标题: {main_window_info['title']}
20260823 15:45:30 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:32 |INFO| 找到主窗口:
20260823 15:45:32 |INFO|   标题: {main_window_info['title']}
20260823 15:45:32 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:33 |INFO| 找到主窗口:
20260823 15:45:33 |INFO|   标题: {main_window_info['title']}
20260823 15:45:33 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:33 |INFO| 找到主窗口:
20260823 15:45:33 |INFO|   标题: {main_window_info['title']}
20260823 15:45:33 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:34 |INFO| 找到主窗口:
20260823 15:45:34 |INFO|   标题: {main_window_info['title']}
20260823 15:45:34 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:35 |INFO| 找到主窗口:
20260823 15:45:35 |INFO|   标题: {main_window_info['title']}
20260823 15:45:35 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
